from,to,r,x,b,tap
516,517,0.0224,0.0901,0.0224,0.0
517,518,0.04,0.1356,0.0332,0.0
517,521,0.0684,0.186,0.0444,0.0
521,526,0.073,0.289,0.0738,0.0
521,526,0.0869,0.291,0.073,0.0
521,538,0.018,0.0919,0.0248,0.0
521,538,0.018,0.0919,0.0248,0.0
521,541,0.0985,0.324,0.0828,0.0
526,528,0.00275,0.00955,0.00732,0.0
535,536,0.00172,0.02,0.216,0.0
536,533,0.0,0.0268,0.0,0.985
540,541,0.0,0.037,0.0,0.935
543,545,0.00866,0.0454,0.01178,0.0
551,552,0.0156,0.0704,0.0187,0.0
552,569,0.0183,0.0934,0.0254,0.0
552,570,0.0238,0.108,0.0286,0.0
552,571,0.0454,0.206,0.0546,0.0
554,555,0.0112,0.03665,0.03796,0.0
555,556,0.0625,0.132,0.0258,0.0
564,565,0.0258,0.0848,0.0218,0.0
564,566,0.0481,0.158,0.0406,0.0
564,574,0.0123,0.0559,0.01464,0.0
565,566,0.0223,0.0732,0.01876,0.0
573,574,0.0246,0.112,0.0294,0.0
580,581,0.0105,0.0288,0.0076,0.0
581,582,0.0278,0.0762,0.0202,0.0
605,607,0.0132,0.0437,0.0444,0.0
605,609,0.012,0.0394,0.0101,0.0
605,623,0.038,0.1244,0.03194,0.0
607,608,0.0123,0.0505,0.01298,0.0
607,703,0.00913,0.0301,0.00768,0.0
608,609,0.01119,0.0493,0.01142,0.0
611,612,0.0209,0.097,0.0246,0.0
612,613,0.0342,0.159,0.0404,0.0
613,614,0.0135,0.0492,0.0498,0.0
613,622,0.0317,0.1153,0.1173,0.0
617,618,0.01913,0.0855,0.0216,0.0
617,622,0.0229,0.0755,0.01926,0.0
617,705,0.0164,0.0741,0.01972,0.0
618,619,0.0237,0.0943,0.0238,0.0
622,703,0.0615,0.203,0.0518,0.0
623,627,0.0415,0.142,0.0366,0.0
627,630,0.0593,0.168,0.042,0.0
628,627,0.0,0.0375,0.0,0.935
630,631,0.0145,0.0487,0.01222,0.0
636,638,0.0601,0.189,0.0472,0.0
638,639,0.0179,0.0505,0.01258,0.0
639,640,0.0267,0.0752,0.01874,0.0
639,641,0.0486,0.137,0.0342,0.0
639,644,0.073,0.289,0.0738,0.0
639,644,0.0869,0.291,0.073,0.0
639,656,0.018,0.0919,0.0248,0.0
639,656,0.018,0.0919,0.0248,0.0
640,647,0.0474,0.134,0.0332,0.0
643,644,0.0263,0.122,0.031,0.0
644,645,0.0169,0.0707,0.0202,0.0
665,667,0.0601,0.1999,0.04978,0.0
665,708,0.0145,0.0481,0.01198,0.0
666,667,0.0444,0.148,0.0368,0.0
666,708,0.0164,0.0544,0.01356,0.0
681,682,0.0387,0.1272,0.03268,0.0
682,684,0.0481,0.158,0.0406,0.0
684,686,0.0269,0.0869,0.023,0.0
709,711,0.0129,0.0424,0.01082,0.0
711,720,0.0484,0.16,0.0406,0.0
712,719,0.0209,0.0688,0.01748,0.0
715,720,0.00862,0.034,0.00874,0.0
716,738,0.00431,0.0504,0.514,0.0
719,720,0.00595,0.0196,0.00502,0.0
719,721,0.02225,0.0731,0.01876,0.0
720,724,0.0212,0.0834,0.0214,0.0
720,825,0.0329,0.14,0.0358,0.0
727,728,0.0252,0.117,0.0298,0.0
728,729,0.0183,0.0849,0.0216,0.0
729,730,0.0209,0.097,0.0246,0.0
734,738,0.00799,0.086,0.908,0.0
735,736,0.01913,0.0855,0.0216,0.0
735,823,0.0164,0.0741,0.01972,0.0
738,746,0.00464,0.054,0.422,0.0
743,744,0.00224,0.0102,0.00268,0.0
743,745,0.011,0.0497,0.01318,0.0
746,745,0.0,0.0375,0.0,0.935
752,753,0.0224,0.0901,0.0224,0.0
761,762,0.0263,0.122,0.031,0.0
762,764,0.00275,0.00955,0.00732,0.0
764,765,0.0343,0.0966,0.0242,0.0
764,766,0.0343,0.0966,0.0242,0.0
768,769,0.00264,0.0135,0.01456,0.0
768,770,0.0123,0.0561,0.01468,0.0
769,770,0.00824,0.0376,0.0098,0.0
770,774,0.0482,0.218,0.0578,0.0
770,775,0.0258,0.117,0.031,0.0
774,775,0.0224,0.1015,0.02682,0.0
777,783,0.0405,0.122,0.124,0.0
777,785,0.0309,0.101,0.1038,0.0
777,895,0.0085,0.072,0.149,0.0
779,781,0.00866,0.0454,0.01178,0.0
782,783,0.0123,0.0406,0.01034,0.0
783,785,0.0601,0.1999,0.04978,0.0
784,785,0.0444,0.148,0.0368,0.0
785,786,0.00376,0.0124,0.01264,0.0
786,787,0.00546,0.0244,0.00648,0.0
792,793,0.0302,0.0641,0.01234,0.0
793,796,0.02,0.102,0.0276,0.0
793,797,0.0239,0.173,0.047,0.0
796,797,0.0139,0.0712,0.01934,0.0
797,800,0.0099,0.0505,0.0548,0.0
797,800,0.0393,0.1581,0.0414,0.0
799,800,0.0387,0.1272,0.03268,0.0
800,802,0.0481,0.158,0.0406,0.0
800,808,0.0648,0.295,0.0472,0.0
802,808,0.0178,0.058,0.0604,0.0
808,809,0.0277,0.1262,0.0328,0.0
808,812,0.0451,0.204,0.0541,0.0
812,813,0.00994,0.0378,0.00986,0.0
813,816,0.0261,0.0703,0.01844,0.0
816,817,0.0105,0.0288,0.0076,0.0
817,818,0.0278,0.0762,0.0202,0.0
822,823,0.0023,0.0104,0.00276,0.0
829,831,0.0241,0.108,0.0284,0.0
829,838,0.0484,0.16,0.0406,0.0
831,837,0.0203,0.0682,0.01738,0.0
833,838,0.00862,0.034,0.00874,0.0
834,835,0.00244,0.0305,1.162,0.0
834,831,0.0,0.0267,0.0,0.985
834,856,0.00431,0.0504,0.514,0.0
835,836,0.00258,0.0322,1.23,0.0
837,838,0.00595,0.0196,0.00502,0.0
838,840,0.0215,0.0707,0.01816,0.0
838,943,0.0329,0.14,0.0358,0.0
840,841,0.0595,0.195,0.0502,0.0
841,845,0.012,0.0394,0.0101,0.0
845,846,0.0252,0.117,0.0298,0.0
845,860,0.0752,0.247,0.0632,0.0
846,847,0.0183,0.0849,0.0216,0.0
852,856,0.00799,0.086,0.908,0.0
854,855,0.0237,0.0943,0.0238,0.0
856,864,0.00464,0.054,0.422,0.0
858,940,0.0135,0.0612,0.01628,0.0
860,862,0.00871,0.0268,0.00568,0.0
860,863,0.00256,0.0094,0.00984,0.0
861,862,0.00224,0.0102,0.00268,0.0
861,863,0.011,0.0497,0.01318,0.0
863,866,0.0593,0.168,0.042,0.0
864,863,0.0,0.0375,0.0,0.935
866,867,0.0145,0.0487,0.01222,0.0
866,868,0.0555,0.183,0.0466,0.0
867,868,0.041,0.135,0.0344,0.0
868,875,0.0715,0.323,0.086,0.0
868,875,0.0715,0.323,0.086,0.0
874,875,0.0179,0.0505,0.01258,0.0
875,877,0.0486,0.137,0.0342,0.0
875,895,0.0985,0.324,0.0828,0.0
877,884,0.0255,0.0719,0.01788,0.0
882,884,0.0343,0.0966,0.0242,0.0
894,895,0.0,0.037,0.0,0.935
894,942,0.00034,0.00405,0.164,1.0
895,896,0.03,0.127,0.122,0.0
895,187,0.0,0.0625,0.0,0.0
896,897,0.00882,0.0355,0.00878,0.0
896,900,0.0401,0.1323,0.03368,0.0
897,899,0.00866,0.0454,0.01178,0.0
902,944,0.0164,0.0544,0.01356,0.0
905,906,0.0156,0.0704,0.0187,0.0
906,922,0.0356,0.182,0.0494,0.0
906,924,0.0238,0.108,0.0286,0.0
909,911,0.043,0.148,0.0348,0.0
919,920,0.0223,0.0732,0.01876,0.0
920,921,0.0132,0.0434,0.0111,0.0
920,922,0.0269,0.0869,0.023,0.0
921,922,0.0171,0.0547,0.01474,0.0
945,946,0.0303,0.0999,0.0254,0.0
945,947,0.0129,0.0424,0.01082,0.0
979,980,0.00224,0.0102,0.00268,0.0
995,1002,0.0255,0.0719,0.01788,0.0
998,1000,0.00275,0.00955,0.00732,0.0
1000,1001,0.0343,0.0966,0.0242,0.0
1000,1002,0.0343,0.0966,0.0242,0.0
1004,1005,0.00264,0.0135,0.01456,0.0
1014,1015,0.00882,0.0355,0.00878,0.0
1014,1018,0.0401,0.1323,0.03368,0.0
1014,1019,0.0428,0.141,0.036,0.0
1018,1019,0.0123,0.0406,0.01034,0.0
1019,1021,0.0601,0.1999,0.04978,0.0
1019,1062,0.0145,0.0481,0.01198,0.0
1021,1022,0.00376,0.0124,0.01264,0.0
1021,1024,0.017,0.0485,0.0472,0.0
1021,1024,0.0294,0.105,0.0228,0.0
1021,1026,0.0298,0.0853,0.08174,0.0
1024,1040,0.0356,0.182,0.0494,0.0
1024,1041,0.0183,0.0934,0.0254,0.0
1026,1027,0.0112,0.03665,0.03796,0.0
1026,1040,0.0162,0.053,0.0544,0.0
1027,1028,0.0625,0.132,0.0258,0.0
1040,1041,0.0173,0.0885,0.024,0.0
1044,1050,0.0605,0.229,0.062,0.0
1049,1050,0.014,0.0547,0.01434,0.0
1049,1052,0.0261,0.0703,0.01844,0.0
