id,type,pd,qd,bs,area,vmag,vang,degree
403,2,87,30,0,4,1.025,20.94,12
404,1,17,4,0,4,1.001,18.9,2
405,1,17,8,0,4,0.967,16.28,3
406,1,18,5,0,4,0.957,15.32,2
407,1,23,11,0,4,0.946,14.35,2
408,2,113,32,0,4,0.955,15.26,6
409,2,63,22,0,4,0.952,14.97,3
410,2,84,18,0,4,0.954,15.16,6
411,1,12,3,0,4,0.971,16.36,2
412,1,12,3,0,4,0.959,15.51,2
413,2,277,113,0,4,0.985,19.37,7
414,1,78,3,0,4,0.993,23.15,3
415,2,0,0,0,4,0.995,24.04,4
416,2,77,14,0,4,0.998,23.43,4
417,1,0,0,0,4,0.969,22.75,2
418,1,0,0,0,4,0.984,24.52,3
419,2,0,0,0,4,1.005,27.65,4
420,2,39,18,0,4,1.05,27.48,5
421,1,28,7,0,4,1.02,24.84,2
422,1,0,0,0,4,1.003,27.55,4
423,2,0,0,0,4,1.035,30.0,9
424,2,66,20,0,4,0.984,22.58,5
425,1,0,0,0,4,0.987,22.15,3
426,2,12,0,0,4,0.98,20.98,2
427,2,6,0,0,4,0.991,21.94,1
428,2,68,27,12,4,0.958,21.64,2
429,1,47,11,0,4,0.967,22.91,5
430,2,68,36,0,4,0.943,21.77,2
431,2,61,28,0,4,1.006,26.72,7
432,1,71,26,0,4,1.003,26.42,2
433,1,39,32,20,4,1.009,26.72,2
434,2,130,26,0,4,1.04,28.96,8
435,1,0,0,0,4,0.997,28.1,2
436,1,54,27,20,4,0.989,27.24,3
437,1,20,10,10,4,0.985,28.42,3
438,1,11,7,0,4,0.98,30.95,2
439,2,24,15,0,4,0.985,32.51,5
440,1,21,10,0,4,0.987,31.14,2
441,2,0,0,0,4,1.015,31.4,1
442,1,48,10,0,4,0.987,35.64,2
443,2,0,0,0,4,1.005,39.69,6
444,2,163,42,0,4,0.985,33.29,3
445,2,10,0,0,4,0.98,33.31,2
446,2,65,10,0,4,0.993,33.8,7
447,1,12,7,0,4,0.987,30.79,2
448,1,30,16,0,4,0.991,28.64,5
449,1,42,31,0,4,0.981,27.67,2
450,1,38,15,0,4,0.993,27.51,5
451,1,15,9,0,4,1.011,27.88,2
452,1,34,8,0,4,1.024,27.4,2
453,2,42,0,0,4,1.01,27.04,2
454,2,37,18,0,4,1.017,28.03,8
455,1,22,15,0,4,0.993,29.61,2
456,1,5,3,0,4,0.991,32.3,2
457,2,23,16,0,4,1.001,24.44,4
458,2,38,25,0,4,0.971,21.69,3
459,2,31,26,20,4,0.965,20.57,5
460,1,43,16,0,4,0.962,20.32,3
461,2,50,12,6,4,0.952,17.53,2
462,1,2,1,0,4,0.967,19.38,2
463,1,8,3,0,4,0.967,18.93,2
464,2,39,30,6,4,0.973,18.09,4
465,2,0,0,0,4,0.98,19.74,1
466,2,68,13,0,4,0.975,14.99,1
467,2,6,0,0,4,0.993,13.74,2
468,1,8,3,0,4,0.96,14.46,2
469,1,22,7,0,4,0.96,14.46,2
470,2,184,0,0,4,1.005,27.12,1
471,1,20,8,0,4,0.974,10.67,1
472,1,33,15,0,4,0.949,21.92,2
473,2,51,27,0,5,0.955,10.67,2
474,1,20,9,0,5,0.971,11.22,2
475,1,39,10,0,5,0.968,11.56,3
476,2,39,12,0,5,0.998,15.28,2
477,1,0,0,-40,5,1.002,15.73,5
478,2,52,22,0,5,0.99,13.0,2
479,1,19,2,0,5,0.989,12.56,2
480,2,28,0,0,5,1.015,20.77,3
481,1,0,0,0,5,1.043,28.02,2
482,2,0,0,0,5,1.05,35.61,1
483,1,70,23,0,5,0.985,12.72,4
484,2,47,10,0,5,0.99,12.2,7
485,1,34,16,0,5,0.968,11.35,2
486,1,14,1,0,5,0.984,11.5,2
487,2,90,30,0,5,0.97,11.23,5
488,1,25,10,0,5,0.984,11.91,2
489,1,11,3,0,5,0.995,13.74,6
490,2,60,34,0,5,0.973,11.53,2
491,2,45,25,0,5,0.963,11.05,4
492,1,18,3,0,5,0.958,11.93,2
493,1,14,8,0,5,0.959,13.52,2
494,1,10,5,0,5,0.97,16.08,2
495,1,7,3,0,5,1.0,21.0,4
496,2,13,0,0,5,0.992,20.89,3
497,2,0,0,0,5,1.05,27.93,3
498,2,0,0,0,5,1.015,29.71,2
499,2,71,13,0,5,0.968,15.35,4
500,1,17,7,0,5,0.962,13.62,2
501,1,24,4,0,5,0.963,12.63,2
502,1,0,0,0,5,0.968,18.79,4
503,2,43,27,0,5,0.967,12.75,3
504,2,59,23,0,5,0.964,14.8,5
505,1,23,9,0,5,0.972,10.63,2
506,2,59,26,14,5,0.986,11.3,4
507,1,33,9,0,5,0.981,10.87,2
508,2,31,17,0,5,0.98,10.87,2
509,1,0,0,-25,5,0.992,11.77,6
510,1,0,0,0,5,0.962,16.91,3
511,1,27,11,0,5,0.97,8.41,2
512,2,66,23,0,5,0.97,7.35,4
513,1,37,10,0,5,0.967,6.92,2
514,2,96,23,0,5,0.985,8.53,4
515,1,18,7,0,5,0.978,11.28,2
516,1,16,8,10,5,0.985,13.82,2
517,1,53,22,10,5,0.987,15.67,3
518,2,28,10,10,5,1.005,18.49,3
519,1,34,0,0,5,1.017,20.73,3
520,1,20,11,15,5,1.021,19.93,2
521,2,87,30,0,5,1.025,20.94,12
522,1,17,4,0,5,1.001,18.9,2
523,1,17,8,0,5,0.967,16.28,3
524,1,18,5,0,5,0.957,15.32,2
525,1,23,11,0,5,0.946,14.35,2
526,2,113,32,0,5,0.955,15.26,6
527,2,63,22,0,5,0.952,14.97,3
528,2,84,18,0,5,0.954,15.16,6
529,1,12,3,0,5,0.971,16.36,2
530,1,12,3,0,5,0.959,15.51,2
531,2,277,113,0,5,0.985,19.37,7
532,1,78,3,0,5,0.993,23.15,3
533,2,0,0,0,5,0.995,24.04,4
534,2,77,14,0,5,0.998,23.43,4
535,1,0,0,0,5,0.969,22.75,2
536,1,0,0,0,5,0.984,24.52,3
537,2,0,0,0,5,1.005,27.65,4
538,2,39,18,0,5,1.05,27.48,5
539,1,28,7,0,5,1.02,24.84,2
540,1,0,0,0,5,1.003,27.55,4
541,2,0,0,0,5,1.035,30.0,8
542,2,66,20,0,5,0.984,22.58,5
543,1,0,0,0,5,0.987,22.15,3
544,2,12,0,0,5,0.98,20.98,2
545,2,6,0,0,5,0.991,21.94,1
546,2,68,27,12,5,0.958,21.64,2
547,1,47,11,0,5,0.967,22.91,5
548,2,68,36,0,5,0.943,21.77,2
549,2,61,28,0,5,1.006,26.72,7
550,1,71,26,0,5,1.003,26.42,2
551,1,39,32,20,5,1.009,26.72,2
552,2,130,26,0,5,1.04,28.96,8
553,1,0,0,0,5,0.997,28.1,2
554,1,54,27,20,5,0.989,27.24,3
555,1,20,10,10,5,0.985,28.42,3
556,1,11,7,0,5,0.98,30.95,2
557,2,24,15,0,5,0.985,32.51,5
558,1,21,10,0,5,0.987,31.14,2
559,2,0,0,0,5,1.015,31.4,1
560,1,48,10,0,5,0.987,35.64,2
561,2,0,0,0,5,1.005,39.69,6
562,2,163,42,0,5,0.985,33.29,3
563,2,10,0,0,5,0.98,33.31,2
564,2,65,10,0,5,0.993,33.8,7
565,1,12,7,0,5,0.987,30.79,2
566,1,30,16,0,5,0.991,28.64,5
567,1,42,31,0,5,0.981,27.67,2
568,1,38,15,0,5,0.993,27.51,5
569,1,15,9,0,5,1.011,27.88,2
570,1,34,8,0,5,1.024,27.4,2
571,2,42,0,0,5,1.01,27.04,2
572,2,37,18,0,5,1.017,28.03,8
573,1,22,15,0,5,0.993,29.61,2
574,1,5,3,0,5,0.991,32.3,2
575,2,23,16,0,5,1.001,24.44,4
576,2,38,25,0,5,0.971,21.69,3
577,2,31,26,20,5,0.965,20.57,5
578,1,43,16,0,5,0.962,20.32,3
579,2,50,12,6,5,0.952,17.53,2
580,1,2,1,0,5,0.967,19.38,2
581,1,8,3,0,5,0.967,18.93,2
582,2,39,30,6,5,0.973,18.09,4
583,2,0,0,0,5,0.98,19.74,1
584,2,68,13,0,5,0.975,14.99,1
585,2,6,0,0,5,0.993,13.74,2
586,1,8,3,0,5,0.96,14.46,2
587,1,22,7,0,5,0.96,14.46,2
588,2,184,0,0,5,1.005,27.12,1
589,1,20,8,0,5,0.974,10.67,1
590,1,33,15,0,5,0.949,21.92,2
591,2,51,27,0,6,0.955,10.67,2
592,1,20,9,0,6,0.971,11.22,2
593,1,39,10,0,6,0.968,11.56,3
594,2,39,12,0,6,0.998,15.28,2
595,1,0,0,-40,6,1.002,15.73,5
596,2,52,22,0,6,0.99,13.0,2
597,1,19,2,0,6,0.989,12.56,2
598,2,28,0,0,6,1.015,20.77,3
599,1,0,0,0,6,1.043,28.02,2
600,2,0,0,0,6,1.05,35.61,1
601,1,70,23,0,6,0.985,12.72,4
602,2,47,10,0,6,0.99,12.2,7
603,1,34,16,0,6,0.968,11.35,2
604,1,14,1,0,6,0.984,11.5,2
605,2,90,30,0,6,0.97,11.23,5
606,1,25,10,0,6,0.984,11.91,2
607,1,11,3,0,6,0.995,13.74,6
608,2,60,34,0,6,0.973,11.53,2
609,2,45,25,0,6,0.963,11.05,4
610,1,18,3,0,6,0.958,11.93,2
611,1,14,8,0,6,0.959,13.52,2
612,1,10,5,0,6,0.97,16.08,2
613,1,7,3,0,6,1.0,21.0,4
614,2,13,0,0,6,0.992,20.89,3
615,2,0,0,0,6,1.05,27.93,3
616,2,0,0,0,6,1.015,29.71,2
617,2,71,13,0,6,0.968,15.35,4
618,1,17,7,0,6,0.962,13.62,2
619,1,24,4,0,6,0.963,12.63,2
620,1,0,0,0,6,0.968,18.79,4
621,2,43,27,0,6,0.967,12.75,3
622,2,59,23,0,6,0.964,14.8,5
623,1,23,9,0,6,0.972,10.63,2
624,2,59,26,14,6,0.986,11.3,4
625,1,33,9,0,6,0.981,10.87,2
626,2,31,17,0,6,0.98,10.87,2
627,1,0,0,-25,6,0.992,11.77,6
628,1,0,0,0,6,0.962,16.91,3
629,1,27,11,0,6,0.97,8.41,2
630,2,66,23,0,6,0.97,7.35,4
631,1,37,10,0,6,0.967,6.92,2
632,2,96,23,0,6,0.985,8.53,4
633,1,18,7,0,6,0.978,11.28,2
